
2025/01/27 (14:06:47) | ===> btop++ v.1.4.0
2025/01/27 (14:06:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/27 (14:06:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (15:48:01) | ===> btop++ v.1.4.0
2025/01/27 (15:48:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/27 (15:48:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (17:35:10) | ===> btop++ v.1.4.0
2025/02/01 (17:35:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/01 (17:35:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (20:19:14) | ===> btop++ v.1.4.0
2025/02/02 (20:19:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/02 (20:19:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (09:35:36) | ===> btop++ v.1.4.0
2025/02/11 (09:35:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/11 (09:35:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (09:36:29) | ===> btop++ v.1.4.0
2025/02/11 (09:36:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/11 (09:36:29) | WARNING: Intel GPU: Failed to initialize PMU
